week,home_team,away_team,moneyline
2,New Orleans Saints_1971,San Francisco 49ers_1971,-1
2,Los Angeles Rams_1971,Atlanta Falcons_1971,-1
2,San Diego Chargers_1971,Oakland Raiders_1971,-1
2,St. Louis Cardinals_1971,New York Jets_1971,1
3,New England Patriots_1971,Baltimore Colts_1971,-1
3,Miami Dolphins_1971,New York Jets_1971,-1
3,Philadelphia Eagles_1971,San Francisco 49ers_1971,-1
3,Pittsburgh Steelers_1971,San Diego Chargers_1971,1
3,Detroit Lions_1971,Atlanta Falcons_1971,1
3,Minnesota Vikings_1971,Buffalo Bills_1971,1
3,Green Bay Packers_1971,Cincinnati Bengals_1971,1
3,Dallas Cowboys_1971,Washington Redskins_1971,-1
3,Houston Oilers_1971,New Orleans Saints_1971,-1
3,Los Angeles Rams_1971,Chicago Bears_1971,1
3,St. Louis Cardinals_1971,New York Giants_1971,-1
3,Denver Broncos_1971,Kansas City Chiefs_1971,-1
3,Cleveland Browns_1971,Oakland Raiders_1971,-1
4,Atlanta Falcons_1971,St. Louis Cardinals_1971,-1
4,Buffalo Bills_1971,Baltimore Colts_1971,-1
4,Cincinnati Bengals_1971,Miami Dolphins_1971,-1
4,Cleveland Browns_1971,Pittsburgh Steelers_1971,1
4,Philadelphia Eagles_1971,Minnesota Vikings_1971,-1
4,New England Patriots_1971,New York Jets_1971,1
4,Washington Redskins_1971,Houston Oilers_1971,1
4,Chicago Bears_1971,New Orleans Saints_1971,1
4,Detroit Lions_1971,Green Bay Packers_1971,1
4,Kansas City Chiefs_1971,San Diego Chargers_1971,1
4,Denver Broncos_1971,Oakland Raiders_1971,-1
4,San Francisco 49ers_1971,Los Angeles Rams_1971,-1
4,Dallas Cowboys_1971,New York Giants_1971,1
5,Atlanta Falcons_1971,Los Angeles Rams_1971,-1
5,New York Jets_1971,Buffalo Bills_1971,1
5,New York Giants_1971,Baltimore Colts_1971,-1
5,Washington Redskins_1971,St. Louis Cardinals_1971,1
5,Miami Dolphins_1971,New England Patriots_1971,1
5,New Orleans Saints_1971,Dallas Cowboys_1971,1
5,Houston Oilers_1971,Detroit Lions_1971,-1
5,San Francisco 49ers_1971,Chicago Bears_1971,1
5,Cincinnati Bengals_1971,Cleveland Browns_1971,-1
5,Denver Broncos_1971,San Diego Chargers_1971,1
5,Green Bay Packers_1971,Minnesota Vikings_1971,-1
5,Oakland Raiders_1971,Philadelphia Eagles_1971,1
5,Kansas City Chiefs_1971,Pittsburgh Steelers_1971,1
6,San Diego Chargers_1971,Buffalo Bills_1971,1
6,Atlanta Falcons_1971,New Orleans Saints_1971,1
6,Cleveland Browns_1971,Denver Broncos_1971,-1
6,New York Jets_1971,Miami Dolphins_1971,-1
6,Philadelphia Eagles_1971,New York Giants_1971,1
6,Pittsburgh Steelers_1971,Houston Oilers_1971,1
6,Detroit Lions_1971,Chicago Bears_1971,-1
6,St. Louis Cardinals_1971,San Francisco 49ers_1971,-1
6,Dallas Cowboys_1971,New England Patriots_1971,1
6,Oakland Raiders_1971,Cincinnati Bengals_1971,1
6,Los Angeles Rams_1971,Green Bay Packers_1971,1
6,Kansas City Chiefs_1971,Washington Redskins_1971,1
6,Minnesota Vikings_1971,Baltimore Colts_1971,1
7,Cleveland Browns_1971,Atlanta Falcons_1971,-1
7,Buffalo Bills_1971,St. Louis Cardinals_1971,-1
7,Philadelphia Eagles_1971,Denver Broncos_1971,1
7,New York Giants_1971,Minnesota Vikings_1971,-1
7,Washington Redskins_1971,New Orleans Saints_1971,1
7,Chicago Bears_1971,Dallas Cowboys_1971,1
7,Houston Oilers_1971,Cincinnati Bengals_1971,1
7,Baltimore Colts_1971,Pittsburgh Steelers_1971,1
7,Oakland Raiders_1971,Kansas City Chiefs_1971,-1
7,Los Angeles Rams_1971,Miami Dolphins_1971,-1
7,San Francisco 49ers_1971,New England Patriots_1971,1
7,San Diego Chargers_1971,New York Jets_1971,1
7,Green Bay Packers_1971,Detroit Lions_1971,-1
8,Cincinnati Bengals_1971,Atlanta Falcons_1971,-1
8,Miami Dolphins_1971,Buffalo Bills_1971,1
8,Pittsburgh Steelers_1971,Cleveland Browns_1971,1
8,New York Jets_1971,Kansas City Chiefs_1971,1
8,New England Patriots_1971,Houston Oilers_1971,1
8,New York Giants_1971,San Diego Chargers_1971,1
8,Washington Redskins_1971,Philadelphia Eagles_1971,-1
8,Chicago Bears_1971,Green Bay Packers_1971,-1
8,St. Louis Cardinals_1971,Dallas Cowboys_1971,-1
8,New Orleans Saints_1971,Oakland Raiders_1971,-1
8,Minnesota Vikings_1971,San Francisco 49ers_1971,-1
8,Denver Broncos_1971,Detroit Lions_1971,-1
8,Baltimore Colts_1971,Los Angeles Rams_1971,1
9,Atlanta Falcons_1971,New York Giants_1971,-1
9,New England Patriots_1971,Buffalo Bills_1971,1
9,New York Jets_1971,Baltimore Colts_1971,-1
9,Miami Dolphins_1971,Pittsburgh Steelers_1971,1
9,Chicago Bears_1971,Washington Redskins_1971,1
9,Dallas Cowboys_1971,Philadelphia Eagles_1971,1
9,Detroit Lions_1971,Los Angeles Rams_1971,-1
9,Minnesota Vikings_1971,Green Bay Packers_1971,1
9,Denver Broncos_1971,Cincinnati Bengals_1971,-1
9,Kansas City Chiefs_1971,Cleveland Browns_1971,1
9,San Francisco 49ers_1971,New Orleans Saints_1971,-1
9,Oakland Raiders_1971,Houston Oilers_1971,1
9,San Diego Chargers_1971,St. Louis Cardinals_1971,1
10,Buffalo Bills_1971,New York Jets_1971,-1
10,Cincinnati Bengals_1971,Houston Oilers_1971,1
10,Cleveland Browns_1971,New England Patriots_1971,1
10,Miami Dolphins_1971,Baltimore Colts_1971,1
10,Washington Redskins_1971,Dallas Cowboys_1971,-1
10,Pittsburgh Steelers_1971,New York Giants_1971,1
10,Chicago Bears_1971,Detroit Lions_1971,-1
10,St. Louis Cardinals_1971,Philadelphia Eagles_1971,-1
10,Kansas City Chiefs_1971,Denver Broncos_1971,1
10,New Orleans Saints_1971,Minnesota Vikings_1971,-1
10,Oakland Raiders_1971,San Diego Chargers_1971,1
10,Los Angeles Rams_1971,San Francisco 49ers_1971,1
10,Atlanta Falcons_1971,Green Bay Packers_1971,1
